geoid,place,County-Person-age-Years5Onwards-nativity-USC_ForeignBorn,County-Person-age-Years25Onwards-educationalAttainment-RegularHighSchoolDiploma,County-Person-age-Years18Onwards-armedForcesStatus-Civilian-veteranStatus-Veteran,County-Person-placeOfBirth-BornInStateOfResidence,County-Person-gender-Female,County-Person-race-USC_TwoOrMoreRaces,County-Person-age-Years15Onwards-income-USDollar75000Onwards-incomeStatus-WithIncome,County-HousingUnit-occupancyStatus-OccupiedHousingUnit-occupancyTenure-OwnerOccupied,County-Person-povertyStatus-BelowPovertyLevelInThePast12Months,County-Person-age-Years15Onwards-maritalStatus-NowMarriedExceptSeparated,County-Person
72101,Morovis Municipio,113,4904,472,,16369,4520,,7282,18201,,32609
72047,Corozal Municipio,140,5961,750,,18872,21254,,7856,19418,,36828
72003,Aguada Municipio,365,5100,732,,21185,12400,,10348,22590,,41595
72077,Juncos Municipio,202,6715,996,,21053,734,,9460,18634,,40346
72073,Jayuya Municipio,55,3119,368,,8220,1578,,3321,8467,,16413
72067,Hormigueros Municipio,263,3267,615,,9168,5171,,4907,5564,,17151
72143,Vega Alta Municipio,529,4582,765,,20810,3126,,9320,19791,,39856
72087,Loíza Municipio,639,6086,570,,15666,453,,6793,13529,,29549
72037,Ceiba Municipio,178,2602,601,,7076,638,,3500,5645,,13419
72105,Naranjito Municipio,155,4793,460,,15299,16666,,6061,15515,,30256
72107,Orocovis Municipio,241,3891,522,,11508,3653,,5192,13915,,23194
72063,Gurabo Municipio,467,5794,1323,,24063,8894,,11528,16229,,46084
72019,Barranquitas Municipio,69,4672,573,,15329,17812,,6124,17444,,30218
72069,Humacao Municipio,572,10991,1494,,30388,4441,,14538,24633,,57823
72119,Río Grande Municipio,842,8941,1184,,27686,1804,,13152,21466,,54035
72085,Las Piedras Municipio,169,7237,834,,20008,9070,,8675,18924,,38777
72065,Hatillo Municipio,543,5253,1244,,21666,1058,,9801,19332,,41932
72033,Cataño Municipio,931,4658,778,,14549,1239,,5863,13563,,27669
72057,Guayama Municipio,343,8019,997,,22517,4084,,10564,21311,,44725
72015,Arroyo Municipio,104,3009,363,,10301,3700,,4539,10037,,19443
72043,Coamo Municipio,240,7540,1319,,20813,625,,10806,20729,,40579
72001,Adjuntas Municipio,20,2976,288,,9883,70,,3773,11543,,19334
72103,Naguabo Municipio,308,4929,826,,14032,704,,6485,13837,,26867
72013,Arecibo Municipio,1092,16509,2528,,49423,2847,,23611,44420,,95185
72149,Villalba Municipio,15,5359,460,,13037,4270,,6010,13629,,25618
72017,Barceloneta Municipio,104,4873,674,,12933,341,,6435,13464,,24884
72045,Comerío Municipio,40,2453,261,,10389,7050,,3966,12209,,20676
72153,Yauco Municipio,158,7080,1323,,21283,1235,,8876,22137,,41194
72009,Aibonito Municipio,242,4653,719,,13174,194,,7044,12122,,25560
72089,Luquillo Municipio,449,3831,640,,10484,588,,4852,8580,,19918
